method,transform,representation,metric,n,mean,std,median,min,max
MSP,horizontal_flip,layer4_pooled,full_normalized_distance,32,0.8442777166840955,0.08233371975191002,0.8723994193331992,0.6221747916977212,0.989882668179459
MSP,horizontal_flip,layer4_pooled,bp_delta_from_original,32,-0.003722032532095909,0.02259559958654943,0.00040744245052337646,-0.08841060101985931,0.02798941731452942
MSP,horizontal_flip,layer4_pooled,bp_ratio_to_original,32,0.9865186815140481,0.07617835820456716,1.0007187262432786,0.6909194481384087,1.086629437185273
MSP,horizontal_flip,layer4_pooled,cp_eq1_optimized,32,0.07062232366297394,0.0493735122527844,0.06156774051487446,0.01167652104049921,0.18865394592285156
MSP,horizontal_flip,layer4_pooled,cp_delta_from_original,32,0.0003763736749533564,0.02030807901186808,0.004186523146927357,-0.05855381488800049,0.036635395139455795
MSP,horizontal_flip,layer4_pooled,cp_ratio_to_original,32,1.0267883673310154,0.32703447672317393,1.1110530967511192,0.23897583627507127,1.6189427890753434
MSP,horizontal_flip,layer4_pooled,cp_coefficient_entropy,32,0.8131812119390815,0.5868286610436406,0.9435836374759674,-0.0,1.9638351202011108
MSP,original,concat,bp_eq2_uniform,32,0.2426235326565802,0.039727258534847106,0.25350575149059296,0.1557593047618866,0.29199251532554626
MSP,original,concat,full_normalized_distance,32,0.6941477082127998,0.059294993498744106,0.7120425807713846,0.5581385218059879,0.7641891327747945
MSP,original,concat,bp_delta_from_original,32,0.0,0.0,0.0,0.0,0.0
MSP,original,concat,bp_ratio_to_original,32,1.0,0.0,1.0,1.0,1.0
MSP,original,concat,cp_eq1_optimized,32,0.13503148360177875,0.02032346051368576,0.1376381367444992,0.10156499594449997,0.18646462261676788
MSP,original,concat,cp_delta_from_original,32,0.0,5.984450346995136e-09,0.0,-2.2351741790771484e-08,1.4901161193847656e-08
MSP,original,concat,cp_ratio_to_original,32,1.0000000010429082,4.8323868688963775e-08,1.0,0.9999998134758246,1.000000112356887
MSP,original,concat,cp_coefficient_entropy,32,1.8772283867001534,0.3009677170178265,1.8372400999069214,1.2851563692092896,2.4724068641662598
MSP,original,layer2_flat,bp_eq2_uniform,32,0.22312937839888036,0.04657514408841351,0.2403254359960556,0.1200350895524025,0.2844755947589874
MSP,original,layer2_flat,full_normalized_distance,32,0.6641787110635196,0.072737417749849,0.6932628067539837,0.4899695695701979,0.7542885320074638
MSP,original,layer2_flat,bp_delta_from_original,32,0.0,0.0,0.0,0.0,0.0
MSP,original,layer2_flat,bp_ratio_to_original,32,1.0,0.0,1.0,1.0,1.0
MSP,original,layer2_flat,cp_eq1_optimized,32,0.12588212476111948,0.0208943702538771,0.1277317777276039,0.08257181197404861,0.16625282168388367
MSP,original,layer2_flat,cp_delta_from_original,32,-9.313225746154785e-10,5.909171245340497e-09,0.0,-1.4901161193847656e-08,1.4901161193847656e-08
MSP,original,layer2_flat,cp_ratio_to_original,32,0.9999999910434332,5.3972185056151844e-08,1.0,0.9999998394106241,1.0000001170533779
MSP,original,layer2_flat,cp_coefficient_entropy,32,2.0988506451249123,0.25316610102442016,2.0657390356063843,1.554396629333496,2.6126019954681396
MSP,original,layer3_flat,bp_eq2_uniform,32,0.26411941181868315,0.030969940533897,0.27542729675769806,0.18697954714298248,0.3113991320133209
MSP,original,layer3_flat,full_normalized_distance,32,0.7255106464332219,0.043972138385966926,0.7421882070210886,0.6115219491448897,0.789175686413768
MSP,original,layer3_flat,bp_delta_from_original,32,0.0,0.0,0.0,0.0,0.0
MSP,original,layer3_flat,bp_ratio_to_original,32,1.0,0.0,1.0,1.0,1.0
MSP,original,layer3_flat,cp_eq1_optimized,32,0.14044759538955986,0.026934730344062803,0.13890184462070465,0.09382645785808563,0.20615585148334503
MSP,original,layer3_flat,cp_delta_from_original,32,1.862645149230957e-09,6.276544475363433e-09,0.0,-1.4901161193847656e-08,1.4901161193847656e-08
MSP,original,layer3_flat,cp_ratio_to_original,32,1.00000001466852,4.906229051706743e-08,1.0,0.9999998952663205,1.0000001545129962
MSP,original,layer3_flat,cp_coefficient_entropy,32,1.7156445048749447,0.3568128519494252,1.7201746106147766,0.9482151865959167,2.3480329513549805
MSP,original,layer4_pooled,bp_eq2_uniform,32,0.3634079652838409,0.05750870813152476,0.3709270507097244,0.24403609335422516,0.49571457505226135
MSP,original,layer4_pooled,full_normalized_distance,32,0.8498697279764008,0.06843787698296759,0.8613067987165054,0.6986216334386234,0.9957053530560749
MSP,original,layer4_pooled,bp_delta_from_original,32,0.0,0.0,0.0,0.0,0.0
MSP,original,layer4_pooled,bp_ratio_to_original,32,1.0,0.0,1.0,1.0,1.0
MSP,original,layer4_pooled,cp_eq1_optimized,32,0.07024595161783509,0.048307861383417,0.05620870925486088,0.014688807539641857,0.18486550450325012
MSP,original,layer4_pooled,cp_delta_from_original,32,1.6298145055770874e-09,8.122527372002164e-09,0.0,-1.4901161193847656e-08,2.9802322387695312e-08
MSP,original,layer4_pooled,cp_ratio_to_original,32,1.0000000073683588,1.359908962405239e-07,1.0,0.9999995610237847,1.0000003214380109
MSP,original,layer4_pooled,cp_coefficient_entropy,32,0.7889509638771415,0.5207295542650306,0.9089790880680084,-0.0,1.667079210281372
MSP,rotate_+10,concat,bp_eq2_uniform,32,0.2688947282731533,0.03341022736504051,0.27813583612442017,0.20153021812438965,0.317867249250412
MSP,rotate_+10,concat,full_normalized_distance,32,0.7318990728609654,0.046705155524675204,0.745836180695137,0.6348704090196513,0.7973296046810403
MSP,rotate_+10,concat,bp_delta_from_original,32,0.026271195616573095,0.020539470998420767,0.025694377720355988,-0.013669878244400024,0.07579143345355988
MSP,rotate_+10,concat,bp_ratio_to_original,32,1.1202318417737147,0.10640966331281011,1.100591799708344,0.95052620077675,1.3476884250462953
MSP,rotate_+10,concat,cp_eq1_optimized,32,0.15362460282631218,0.020674530812451568,0.1572975590825081,0.10876159369945526,0.20680461823940277
MSP,rotate_+10,concat,cp_delta_from_original,32,0.01859311922453344,0.01106311509253956,0.018172986805438995,-0.009989559650421143,0.04287075251340866
MSP,rotate_+10,concat,cp_ratio_to_original,32,1.1434139894724213,0.09123629099467889,1.130603030507836,0.9346994357209815,1.3840786658306348
MSP,rotate_+10,concat,cp_coefficient_entropy,32,1.8252901248633862,0.2603824793894472,1.8165385723114014,1.2242355346679688,2.2644402980804443
MSP,rotate_+10,layer2_flat,bp_eq2_uniform,32,0.2589566777460277,0.039749017521409455,0.26856471598148346,0.17875364422798157,0.3097360134124756
